Dates,Opening/Closure,Notes,Link
3/16/2020,Major Closure,"Catholic Church Suspends Masses and Bars, Gyms, and Schools Close",https://www.nbclosangeles.com/news/coronavirus/california-coronavirus-pandemic-timeline-key-events/2334100/
3/19/2020,Stay at Home Order,Statewide Stay At Home Order Issued,
5/29/2020,Major Opening,Resturants and Barberships Open Under Limited Capacity,
11/17/2020,Mask Mandate,Mask Wearing Mandated Statewide,
11/23/2020,Major Closure,All Diners Were Heavily Restricted and Forced to Observe Curfews,https://abc7.com/los-angeles-coronavirus-update-la-county-covid-restaurants-bars/8181136/
12/3/2020,Major Closure,Targeted Stay At Home Order Enacted,
1/25/2021,Stay at Home Order Lifted,Stay at Home Orders Lifted and Outdoor Dining Resumes,
4/28/2021,School Opening,Schools Allowed to Reopen Under Restrictions,
