Dates,Opening/Closure,Notes,Link
3/9/2020,Major Closure,All Schools Close,https://twitter.com/FultonCoSchools/status/1237092350150815745
4/1/2020,Major Closure,"Stay at Home Order Enacted, Restaurants Closed",https://www.cbs46.com/news/fulton-county-residents-placed-under-stay-at-home-order/article_bcfa7244-7436-11ea-bdaa-c30dfff616e8.html
3/30/2020,Major Opening,Stay at Home Order Lifted,"https://ballotpedia.org/States_that_issued_lockdown_and_stay-at-home_orders_in_response_to_the_coronavirus_(COVID-19)_pandemic,_2020"
7/8/2020,Major Closure,Mask Mandate Enacted,https://www.cityofsouthfultonga.gov/DocumentCenter/View/3640/NEWS-RELEASE---COSF-Mask-Emergency-Ordinance
8/17/2020,Major Opening,Schools Allowed to Reopen,https://www.msn.com/en-us/news/us/fulton-co-schools-announce-reopen-date-students-to-choose-in-person-or-online-learning/ar-BB165LSt
2/9/2021,Major Opening,Mask Mandate Lifted,https://www.komu.com/news/midmissourinews/fultons-mask-mandate-expires-sunday-night/article_c58b0950-7467-11eb-a7bc-6f7ef65503ab.html
