Dates,Opening/Closure,Notes,Link
3/16/2020,School Closure,"Schools Close, Citizens Advised to Avoid Groups Larger than Ten",https://www.wfaa.com/article/news/health/coronavirus/timeline-covid-19-in-dallas-fort-worth-texas/287-ebb355b0-aa66-482c-a193-dc3eca441218
3/22/2020,Stay at Home Order,Shelter in Place Order Announced,
3/26/2020,Minor Closure,Quarantines for Interstate Travelers Announced,
3/31/2020,Stay at Home Order,Executive Order Mandates Citizens to Only Leave their Homes for Essential Activities,
4/8/2020,Public Area Closed,Parks Closed,
4/16/2020,Mask Mandate,Mask Mandate Enacted,
4/17/2020,Business Opening,Certain Stores and Parks Opened in Limited Capacity,
4/30/2020,Stay at Home Order Lifted,"Statewide Stay at Home Order Expires, Businesses, Restaurants Begin to Open",
5/8/2020,Business Opening,Personal Beauty Services Return to Business,
8/17/2020,School Opening,Dallas Schools Reopen,https://www.dallasobserver.com/news/dallas-isd-reopen-coronavirus-11902347
5/10/2021,Mask Mandate Lifted,Mask Mandate Lifted,https://www.keranews.org/news/2021-03-18/photos-a-week-after-the-mask-mandate-lifted-in-dallas-county
