Dates,Opening/Closure,Notes,Link
3/18/2020,School Closure,Incidence School Closure,https://jamanetwork.com/journals/jama/fullarticle/2769034?utm_campaign=articlePDF&utm_medium=articlePDFlink&utm_source=articlePDF&utm_content=jama.2020.14348
3/25/2020,Stay at Home Order,Incidence Stay at Home Order,https://jamanetwork.com/journals/jama/fullarticle/2769034?utm_campaign=articlePDF&utm_medium=articlePDFlink&utm_source=articlePDF&utm_content=jama.2020.14348
3/25/2020,Business Closure,Incidence Business Closure,https://jamanetwork.com/journals/jama/fullarticle/2769034?utm_campaign=articlePDF&utm_medium=articlePDFlink&utm_source=articlePDF&utm_content=jama.2020.14348
3/17/2020,Resturaunt Closure,Incidence Resturaunt Closure,https://jamanetwork.com/journals/jama/fullarticle/2769034?utm_campaign=articlePDF&utm_medium=articlePDFlink&utm_source=articlePDF&utm_content=jama.2020.14348
3/17/2020,Gatherings Disallowed,Incidence Gatherings Disallowed,https://jamanetwork.com/journals/jama/fullarticle/2769034?utm_campaign=articlePDF&utm_medium=articlePDFlink&utm_source=articlePDF&utm_content=jama.2020.14348
