Dates,Opening/Closure,Notes,Link
3/19/20,School Closure,Incidence School Closure,https://jamanetwork.com/journals/jama/fullarticle/2769034?utm_campaign=articlePDF&utm_medium=articlePDFlink&utm_source=articlePDF&utm_content=jama.2020.14348
4/3/20,Stay at Home Order,Incidence Stay at Home Order,https://jamanetwork.com/journals/jama/fullarticle/2769034?utm_campaign=articlePDF&utm_medium=articlePDFlink&utm_source=articlePDF&utm_content=jama.2020.14348
3/27/20,Business Closure,Incidence Business Closure,https://jamanetwork.com/journals/jama/fullarticle/2769034?utm_campaign=articlePDF&utm_medium=articlePDFlink&utm_source=articlePDF&utm_content=jama.2020.14348
3/19/20,Resturaunt Closure,Incidence Resturaunt Closure,https://jamanetwork.com/journals/jama/fullarticle/2769034?utm_campaign=articlePDF&utm_medium=articlePDFlink&utm_source=articlePDF&utm_content=jama.2020.14348
3/27/20,Gathering Restriction,Incidence Gathering Restriction,https://jamanetwork.com/journals/jama/fullarticle/2769034?utm_campaign=articlePDF&utm_medium=articlePDFlink&utm_source=articlePDF&utm_content=jama.2020.14348
