Dates,Opening/Closure,Notes,Link
3/16/2020,School Closure,Incidence School Closure,https://jamanetwork.com/journals/jama/fullarticle/2769034?utm_campaign=articlePDF&utm_medium=articlePDFlink&utm_source=articlePDF&utm_content=jama.2020.14348
N/A20,Stay at Home Order,Incidence Stay at Home Order,https://jamanetwork.com/journals/jama/fullarticle/2769034?utm_campaign=articlePDF&utm_medium=articlePDFlink&utm_source=articlePDF&utm_content=jama.2020.14348
N/A20,Business Closure,Incidence Business Closure,https://jamanetwork.com/journals/jama/fullarticle/2769034?utm_campaign=articlePDF&utm_medium=articlePDFlink&utm_source=articlePDF&utm_content=jama.2020.14348
3/20/2020,Resturaunt Closure,Incidence Resturaunt Closure,https://jamanetwork.com/journals/jama/fullarticle/2769034?utm_campaign=articlePDF&utm_medium=articlePDFlink&utm_source=articlePDF&utm_content=jama.2020.14348
3/30/2020,Gatherings Disallowed,Incidence Gatherings Disallowed,https://jamanetwork.com/journals/jama/fullarticle/2769034?utm_campaign=articlePDF&utm_medium=articlePDFlink&utm_source=articlePDF&utm_content=jama.2020.14348
