Dates,Infected,Deaths,Tested,Population
2/1/2020,1.0,0.0,0.0,39370000.0
2/2/2020,1.0,0.0,0.0,39370000.0
2/3/2020,1.0,0.0,0.0,39370000.0
2/4/2020,1.0,0.0,0.0,39370000.0
2/5/2020,1.0,0.0,0.0,39370000.0
2/6/2020,1.0,0.0,0.0,39370000.0
2/7/2020,1.0,0.0,0.0,39370000.0
2/8/2020,1.0,0.0,0.0,39370000.0
2/9/2020,1.0,0.0,0.0,39370000.0
2/10/2020,1.0,0.0,0.0,39370000.0
2/11/2020,1.0,0.0,0.0,39370000.0
2/12/2020,1.0,0.0,0.0,39370000.0
2/13/2020,1.0,0.0,0.0,39370000.0
2/14/2020,1.0,0.0,0.0,39370000.0
2/15/2020,1.0,0.0,0.0,39370000.0
2/16/2020,1.0,0.0,0.0,39370000.0
2/17/2020,1.0,0.0,0.0,39370000.0
2/18/2020,1.0,0.0,0.0,39370000.0
2/19/2020,1.0,0.0,0.0,39370000.0
2/20/2020,1.0,0.0,0.0,39370000.0
2/21/2020,1.0,0.0,0.0,39370000.0
2/22/2020,1.0,0.0,0.0,39370000.0
2/23/2020,1.0,0.0,0.0,39370000.0
2/24/2020,1.0,0.0,0.0,39370000.0
2/25/2020,1.0,0.0,0.0,39370000.0
2/26/2020,1.0,0.0,0.0,39370000.0
2/27/2020,1.0,0.0,0.0,39370000.0
2/28/2020,1.0,0.0,0.0,39370000.0
2/29/2020,1.0,1.0,0.0,39370000.0
3/1/2020,1.0,1.0,0.0,39370000.0
3/2/2020,1.0,6.0,0.0,39370000.0
3/3/2020,27.0,9.0,0.0,39370000.0
3/4/2020,40.0,10.0,0.0,39370000.0
3/5/2020,55.0,10.0,0.0,39370000.0
3/6/2020,67.0,11.0,0.0,39370000.0
3/7/2020,99.0,16.0,0.0,39370000.0
3/8/2020,125.0,18.0,0.0,39370000.0
3/9/2020,191.0,21.0,0.0,39370000.0
3/10/2020,279.0,24.0,0.0,39370000.0
3/11/2020,327.0,29.0,0.0,39370000.0
3/12/2020,413.0,31.0,0.0,39370000.0
3/13/2020,480.0,37.0,0.0,39370000.0
3/14/2020,601.0,40.0,0.0,39370000.0
3/15/2020,716.0,42.0,0.0,39370000.0
3/16/2020,833.0,42.0,0.0,39370000.0
3/17/2020,958.0,47.0,0.0,39370000.0
3/18/2020,1126.0,66.0,0.0,39370000.0
3/19/2020,1288.0,74.0,0.0,39370000.0
3/20/2020,1428.0,83.0,0.0,39370000.0
3/21/2020,1657.0,94.0,0.0,39370000.0
3/22/2020,1797.0,95.0,0.0,39370000.0
3/23/2020,2133.0,110.0,0.0,39370000.0
3/24/2020,2322.0,123.0,0.0,39370000.0
3/25/2020,2529.0,132.0,0.0,39370000.0
3/26/2020,3070.0,147.0,0.0,39370000.0
3/27/2020,3613.0,175.0,0.0,39370000.0
3/28/2020,4055.0,189.0,0.0,39370000.0
3/29/2020,4508.0,189.0,0.0,39370000.0
3/30/2020,4885.0,195.0,0.0,39370000.0
3/31/2020,5341.0,195.0,0.0,39370000.0
4/1/2020,5769.0,246.0,0.0,39370000.0
4/2/2020,6233.0,261.0,0.0,39370000.0
4/3/2020,6576.0,284.0,0.0,39370000.0
4/4/2020,7066.0,310.0,0.0,39370000.0
4/5/2020,7461.0,337.0,0.0,39370000.0
4/6/2020,7846.0,371.0,0.0,39370000.0
4/7/2020,8164.0,394.0,0.0,39370000.0
4/8/2020,8486.0,420.0,0.0,39370000.0
4/9/2020,8890.0,445.0,0.0,39370000.0
4/10/2020,9174.0,475.0,0.0,39370000.0
4/11/2020,9632.0,491.0,0.0,39370000.0
4/12/2020,9869.0,508.0,0.0,39370000.0
4/13/2020,10134.0,508.0,0.0,39370000.0
4/14/2020,10382.0,546.0,0.0,39370000.0
4/15/2020,10601.0,567.0,0.0,39370000.0
4/16/2020,10924.0,583.0,0.0,39370000.0
4/17/2020,11186.0,603.0,0.0,39370000.0
4/18/2020,11540.0,624.0,0.0,39370000.0
4/19/2020,11785.0,635.0,0.0,39370000.0
4/20/2020,12060.0,652.0,0.0,39370000.0
4/21/2020,12296.0,682.0,0.0,39370000.0
4/22/2020,12500.0,692.0,0.0,39370000.0
4/23/2020,12695.0,711.0,0.0,39370000.0
4/24/2020,12966.0,723.0,0.0,39370000.0
4/25/2020,13276.0,738.0,0.0,39370000.0
4/26/2020,13515.0,749.0,0.0,39370000.0
4/27/2020,13745.0,765.0,0.0,39370000.0
4/28/2020,13901.0,786.0,0.0,39370000.0
4/29/2020,14134.0,801.0,0.0,39370000.0
4/30/2020,14408.0,814.0,0.0,39370000.0
5/1/2020,14705.0,824.0,0.0,39370000.0
5/2/2020,15082.0,830.0,0.0,39370000.0
5/3/2020,15297.0,834.0,0.0,39370000.0
5/4/2020,15576.0,841.0,0.0,39370000.0
5/5/2020,15720.0,862.0,0.0,39370000.0
5/6/2020,16024.0,870.0,0.0,39370000.0
5/7/2020,16358.0,891.0,0.0,39370000.0
5/8/2020,16509.0,905.0,0.0,39370000.0
5/9/2020,16813.0,921.0,0.0,39370000.0
5/10/2020,17026.0,931.0,0.0,39370000.0
5/11/2020,17266.0,945.0,0.0,39370000.0
5/12/2020,17473.0,962.0,0.0,39370000.0
5/13/2020,17593.0,975.0,0.0,39370000.0
5/14/2020,17851.0,983.0,0.0,39370000.0
5/15/2020,18032.0,992.0,0.0,39370000.0
5/16/2020,18379.0,1000.0,0.0,39370000.0
5/17/2020,18527.0,1001.0,0.0,39370000.0
5/18/2020,18699.0,1002.0,0.0,39370000.0
5/19/2020,18889.0,1031.0,0.0,39370000.0
5/20/2020,19064.0,1037.0,0.0,39370000.0
5/21/2020,19199.0,1044.0,0.0,39370000.0
5/22/2020,19351.0,1050.0,0.0,39370000.0
5/23/2020,19679.0,1057.0,0.0,39370000.0
5/24/2020,19927.0,1061.0,0.0,39370000.0
5/25/2020,20194.0,1070.0,0.0,39370000.0
5/26/2020,20321.0,1078.0,0.0,39370000.0
5/27/2020,20473.0,1095.0,0.0,39370000.0
5/28/2020,20829.0,1106.0,0.0,39370000.0
5/29/2020,21131.0,1111.0,0.0,39370000.0
5/30/2020,21409.0,1118.0,0.0,39370000.0
5/31/2020,21761.0,1118.0,0.0,39370000.0
6/1/2020,22032.0,1124.0,0.0,39370000.0
6/2/2020,22237.0,1129.0,0.0,39370000.0
6/3/2020,22514.0,1135.0,0.0,39370000.0
6/4/2020,22762.0,1138.0,0.0,39370000.0
6/5/2020,23022.0,1149.0,0.0,39370000.0
6/6/2020,23481.0,1153.0,0.0,39370000.0
6/7/2020,23764.0,1159.0,0.0,39370000.0
6/8/2020,24075.0,1161.0,0.0,39370000.0
6/9/2020,24375.0,1176.0,0.0,39370000.0
6/10/2020,24626.0,1190.0,0.0,39370000.0
6/11/2020,24888.0,1194.0,0.0,39370000.0
6/12/2020,25172.0,1204.0,0.0,39370000.0
6/13/2020,25538.0,1213.0,0.0,39370000.0
6/14/2020,25820.0,1217.0,0.0,39370000.0
6/15/2020,26153.0,1221.0,0.0,39370000.0
6/16/2020,26525.0,1231.0,0.0,39370000.0
6/17/2020,26782.0,1226.0,0.0,39370000.0
6/18/2020,27188.0,1245.0,0.0,39370000.0
6/19/2020,27603.0,1255.0,0.0,39370000.0
6/20/2020,28219.0,1265.0,0.0,39370000.0
6/21/2020,28670.0,1270.0,0.0,39370000.0
6/22/2020,28868.0,1276.0,0.0,39370000.0
6/23/2020,29389.0,1284.0,0.0,39370000.0
6/24/2020,29869.0,1284.0,0.0,39370000.0
6/25/2020,30367.0,1300.0,0.0,39370000.0
6/26/2020,30861.0,1304.0,0.0,39370000.0
6/27/2020,31417.0,1310.0,0.0,39370000.0
6/28/2020,31761.0,1310.0,0.0,39370000.0
6/29/2020,32262.0,1320.0,0.0,39370000.0
6/30/2020,32826.0,1332.0,0.0,39370000.0
7/1/2020,33435.0,1339.0,0.0,39370000.0
7/2/2020,34146.0,1342.0,0.0,39370000.0
7/3/2020,34901.0,1352.0,0.0,39370000.0
7/4/2020,35252.0,1354.0,0.0,39370000.0
7/5/2020,35894.0,1359.0,0.0,39370000.0
7/6/2020,36950.0,1370.0,0.0,39370000.0
7/7/2020,37385.0,1384.0,0.0,39370000.0
7/8/2020,37909.0,1394.0,0.0,39370000.0
7/9/2020,38555.0,1409.0,0.0,39370000.0
7/10/2020,39194.0,1424.0,0.0,39370000.0
7/11/2020,39798.0,1424.0,0.0,39370000.0
7/12/2020,40664.0,1438.0,0.0,39370000.0
7/13/2020,41741.0,1399.0,0.0,39370000.0
7/14/2020,42287.0,1404.0,0.0,39370000.0
7/15/2020,43030.0,1421.0,0.0,39370000.0
7/16/2020,44292.0,1427.0,0.0,39370000.0
7/17/2020,45046.0,1434.0,0.0,39370000.0
7/18/2020,46017.0,1444.0,0.0,39370000.0
7/19/2020,46951.0,1447.0,0.0,39370000.0
7/20/2020,47746.0,1453.0,0.0,39370000.0
7/21/2020,48586.0,1465.0,0.0,39370000.0
7/22/2020,49246.0,1468.0,0.0,39370000.0
7/23/2020,49979.0,1482.0,0.0,39370000.0
7/24/2020,50830.0,1495.0,0.0,39370000.0
7/25/2020,51869.0,1494.0,0.0,39370000.0
7/26/2020,52668.0,1501.0,0.0,39370000.0
7/27/2020,53338.0,1518.0,0.0,39370000.0
7/28/2020,54202.0,1548.0,0.0,39370000.0
7/29/2020,54984.0,1554.0,0.0,39370000.0
7/30/2020,55759.0,1564.0,0.0,39370000.0
7/31/2020,56745.0,1564.0,0.0,39370000.0
8/1/2020,57595.0,1592.0,0.0,39370000.0
8/2/2020,58225.0,1596.0,0.0,39370000.0
8/3/2020,58776.0,1600.0,0.0,39370000.0
8/4/2020,59457.0,1619.0,0.0,39370000.0
8/5/2020,60142.0,1624.0,0.0,39370000.0
8/6/2020,60974.0,1653.0,0.0,39370000.0
8/7/2020,61697.0,1672.0,0.0,39370000.0
8/8/2020,62594.0,1688.0,0.0,39370000.0
8/9/2020,63200.0,1688.0,0.0,39370000.0
8/10/2020,63780.0,1697.0,0.0,39370000.0
8/11/2020,64271.0,1716.0,0.0,39370000.0
8/12/2020,64813.0,1724.0,0.0,39370000.0
8/13/2020,65456.0,1736.0,0.0,39370000.0
8/14/2020,66271.0,1755.0,0.0,39370000.0
8/15/2020,67007.0,1766.0,0.0,39370000.0
8/16/2020,67599.0,1781.0,0.0,39370000.0
8/17/2020,67872.0,1785.0,0.0,39370000.0
8/18/2020,68404.0,1809.0,0.0,39370000.0
8/19/2020,68941.0,1822.0,0.0,39370000.0
8/20/2020,69682.0,1837.0,0.0,39370000.0
8/21/2020,70200.0,1850.0,0.0,39370000.0
8/22/2020,71027.0,1857.0,0.0,39370000.0
8/23/2020,71491.0,1863.0,0.0,39370000.0
8/24/2020,71834.0,1867.0,0.0,39370000.0
8/25/2020,72181.0,1876.0,0.0,39370000.0
8/26/2020,72654.0,1880.0,0.0,39370000.0
8/27/2020,73236.0,1890.0,0.0,39370000.0
8/28/2020,73820.0,1905.0,0.0,39370000.0
8/29/2020,74439.0,1905.0,0.0,39370000.0
8/30/2020,74904.0,1905.0,0.0,39370000.0
8/31/2020,75214.0,1915.0,0.0,39370000.0
9/1/2020,75521.0,1931.0,0.0,39370000.0
9/2/2020,75996.0,1935.0,0.0,39370000.0
9/3/2020,76558.0,1945.0,0.0,39370000.0
9/4/2020,77056.0,1953.0,0.0,39370000.0
9/5/2020,77581.0,1953.0,0.0,39370000.0
9/6/2020,78001.0,1953.0,0.0,39370000.0
9/7/2020,78317.0,1953.0,0.0,39370000.0
9/8/2020,78514.0,1953.0,0.0,39370000.0
9/9/2020,78804.0,1978.0,0.0,39370000.0
9/10/2020,79303.0,1985.0,0.0,39370000.0
9/11/2020,79903.0,1991.0,0.0,39370000.0
9/12/2020,80398.0,1991.0,0.0,39370000.0
9/13/2020,80762.0,1991.0,0.0,39370000.0
9/14/2020,81080.0,2006.0,0.0,39370000.0
9/15/2020,81418.0,2015.0,0.0,39370000.0
9/16/2020,81803.0,2020.0,0.0,39370000.0
9/17/2020,82224.0,2031.0,0.0,39370000.0
9/18/2020,82646.0,2037.0,0.0,39370000.0
9/19/2020,83278.0,2037.0,0.0,39370000.0
9/20/2020,83661.0,2037.0,0.0,39370000.0
9/21/2020,83966.0,2055.0,0.0,39370000.0
9/22/2020,84322.0,2070.0,0.0,39370000.0
9/23/2020,84869.0,2081.0,0.0,39370000.0
9/24/2020,85454.0,2080.0,0.0,39370000.0
9/25/2020,86481.0,2100.0,0.0,39370000.0
9/26/2020,87131.0,2100.0,0.0,39370000.0
9/27/2020,87591.0,2100.0,0.0,39370000.0
9/28/2020,87981.0,2100.0,0.0,39370000.0
9/29/2020,88366.0,2124.0,0.0,39370000.0
9/30/2020,88901.0,2126.0,0.0,39370000.0
10/1/2020,89540.0,2132.0,0.0,39370000.0
10/2/2020,90255.0,2143.0,0.0,39370000.0
10/3/2020,90902.0,2142.0,0.0,39370000.0
10/4/2020,91381.0,2142.0,0.0,39370000.0
10/5/2020,91805.0,2158.0,0.0,39370000.0
10/6/2020,92220.0,2165.0,0.0,39370000.0
10/7/2020,92771.0,2177.0,0.0,39370000.0
10/8/2020,93535.0,2183.0,0.0,39370000.0
10/9/2020,94232.0,2190.0,0.0,39370000.0
10/10/2020,94802.0,2190.0,0.0,39370000.0
10/11/2020,95650.0,2190.0,0.0,39370000.0
10/12/2020,96031.0,2190.0,0.0,39370000.0
10/13/2020,96625.0,2211.0,0.0,39370000.0
10/14/2020,97322.0,2221.0,0.0,39370000.0
10/15/2020,98022.0,2232.0,0.0,39370000.0
10/16/2020,98799.0,2239.0,0.0,39370000.0
10/17/2020,99629.0,2239.0,0.0,39370000.0
10/18/2020,100195.0,2239.0,0.0,39370000.0
10/19/2020,100662.0,2258.0,0.0,39370000.0
10/20/2020,101155.0,2282.0,0.0,39370000.0
10/21/2020,101958.0,2286.0,0.0,39370000.0
10/22/2020,102665.0,2289.0,0.0,39370000.0
10/23/2020,103475.0,2296.0,0.0,39370000.0
10/24/2020,104424.0,2296.0,0.0,39370000.0
10/25/2020,105165.0,2296.0,0.0,39370000.0
10/26/2020,105761.0,2321.0,0.0,39370000.0
10/27/2020,106305.0,2337.0,0.0,39370000.0
10/28/2020,107063.0,2353.0,0.0,39370000.0
10/29/2020,107946.0,2359.0,0.0,39370000.0
10/30/2020,109058.0,2366.0,0.0,39370000.0
10/31/2020,110036.0,2366.0,0.0,39370000.0
11/1/2020,110911.0,2366.0,0.0,39370000.0
11/2/2020,111951.0,2378.0,0.0,39370000.0
11/3/2020,112697.0,2400.0,0.0,39370000.0
11/4/2020,114233.0,2416.0,0.0,39370000.0
11/5/2020,115359.0,2431.0,0.0,39370000.0
11/6/2020,117129.0,2439.0,0.0,39370000.0
11/7/2020,118877.0,2439.0,0.0,39370000.0
11/8/2020,120327.0,2439.0,0.0,39370000.0
11/9/2020,121575.0,2460.0,0.0,39370000.0
11/10/2020,122995.0,2482.0,0.0,39370000.0
