Date,Opening/Closure,Notes,Link
2020-03-19,Interstate travel ban,,https://www.abc.net.au/news/2020-03-19/coronavirus-tasmanian-premier-announces-border-restrictions/12069764
2020-03-22,Nonessential businesses closed,Social distancing put in place,https://www.pm.gov.au/media/update-coronavirus-measures-220320
2020-06-20,Measures stricter in Victoria and drastically removed in Western Australia,,"https://www.abc.net.au/news/2020-06-20/victoria-coronavirus-numbers-increase-again-with-more-new-cases/12376316, https://www.abc.net.au/news/2020-06-22/wa-coronavirus-restrictions-eased-further-phase-four-announced/12380422"
2020-10-27,Victorian Lockdown ends,0 cases left in victoria,https://www.premier.vic.gov.au/statement-premier-79
