Date,Opening/Closure,Notes,Link
3/8/2020,Stay at Home Order,,https://en.wikipedia.org/wiki/Timeline_of_the_COVID-19_pandemic_in_Italy
5/4/2020,Stay at Home Order Lifted,,https://en.wikipedia.org/wiki/Timeline_of_the_COVID-19_pandemic_in_Italy
11/4/2020,Lockdown Policies,Tiers put in place affecting lockdowns,
12/2/2020,Movement Restriction,,
3/15/2021,All of Italy put into red tier,,
