Date,Opening/Closure,Notes,Link
3/19/2020,Interstate travel ban,,https://www.abc.net.au/news/2020-03-19/coronavirus-tasmanian-premier-announces-border-restrictions/12069764
3/22/2020,Nonessential businesses closed,Social distancing put in place,https://www.pm.gov.au/media/update-coronavirus-measures-220320
6/20/2020,Measures stricter in Victoria and drastically removed in Western Australia,,"https://www.abc.net.au/news/2020-06-20/victoria-coronavirus-numbers-increase-again-with-more-new-cases/12376316, https://www.abc.net.au/news/2020-06-22/wa-coronavirus-restrictions-eased-further-phase-four-announced/12380422"
10/27/2020,Victorian Lockdown ends,0 cases left in victoria,https://www.premier.vic.gov.au/statement-premier-79
