Date,Opening/Closure,Notes,Link
3/17/2020,Stay at Home Order,,https://en.wikipedia.org/wiki/Timeline_of_the_COVID-19_pandemic_in_Canada
5/4/2020,Non-essential business opening,"Lifting of economic restrictions by province, date may not be accurate",
11/10/2020,Small Lockdowns,,
7/20/2020,"Quarantine, Isolation and other measures",,
