Date,Opening/Closure,Notes,Link
2020-03-08,Stay at Home Order,,https://en.wikipedia.org/wiki/Timeline_of_the_COVID-19_pandemic_in_Italy
2020-05-04,Stay at Home Order Lifted,,https://en.wikipedia.org/wiki/Timeline_of_the_COVID-19_pandemic_in_Italy
2020-11-04,Lockdown Policies,Tiers put in place affecting lockdowns,
