California,3.473654111,0.834842104,0.652825259,0.25,0.043320806,0.758889208,0.023916091,0.551254102,1.315563355,1.425329235,1.086036376,3.494236714,0.570632627,1.056343558,1.003484918
United Kingdom,30.13286657,1.66E-05,0.108516013,0.25,0.048166051,0.192162113,0.066791177,-2.515618695,13.0938447,0.32786193,0.412931791,3.631591755,-0.894231987,-0.715847441,0.533930897
Italy,0.088172319,0.363610261,1.644090132,0.25,0.105789424,3.326543345,0.008549989,0.181201587,-0.068432754,0.002106643,-0.013002624,,,,
Canada,0.001649031,0.964701638,0.254356815,0.25,0.021513735,0.503215677,0.197318662,3.997689365,5.447120103,0.236819395,-0.465743639,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
