Date,Opening/Closure,Notes,Link
2020-03-17,Stay at Home Order,,https://en.wikipedia.org/wiki/Timeline_of_the_COVID-19_pandemic_in_Canada
2020-05-04,Non-essential business opening,"Lifting of economic restrictions by province, date may not be accurate",
2020-11-06,Small Lockdowns,,
