Date,Opening/Closure,Notes,Link
2020-03-20,Stay at Home Order,"Stay at home, business closure, and school closure",https://bfpg.co.uk/2020/04/covid-19-timeline/
2020-05-10,Ease of Lockdown,"Less strict lockdown, more movement and businesses opened",
2020-06-15,Nonessential Businesses Open,,
2020-10-12,Tier System Introduced,,
2020-10-31,Stay at Home Order,,
2020-11-28,Ease of Lockdown Not fully opened,,
2021-04-12,Nonessential Businesses Open,,
