Date,Opening/Closure,Notes,Link
3/4/2020,Major Closure,Shelter-in-place Order,https://ballotpedia.org/States_that_issued_lockdown_and_stay-at-home_orders_in_response_to_the_coronavirus_(COVID-19)_pandemic,_2020
3/25/2020,Minor Closure,Mayor of North Slope Borough Issues Emergency Stay At Home Order,http://www.north-slope.org/assets/images/uploads/news/Emergency_Order_10-2020.pdf
4/9/2020,Major Closure,Schools Closed Statewide,https://www.ktoo.org/2020/09/12/covid-19-retrospective/
4/30/2020,Major Opening,Shelter-in-place Order Recinded
9/12/2020,Minor Closure,Bars Closed
5/20/2021,Major Opening,Cruise Season Resumes,https://gov.alaska.gov/home/covid19news/

