3/17/2020,Major Closure,Public Gatherings Suspended,https://www.alabamapublichealth.gov/legal/orders.html
3/18,2020,Major Closure,Schools Closed
4/4/2020,Major Closure,Safer at Home Order,https://ballotpedia.org/States_that_issued_lockdown_and_stay-at-home_orders_in_response_to_the_coronavirus_(COVID-19)_pandemic,_2020
4/30/2020,Major Opening,Safer at Home Order Lifted
7/15/2020,Major Closure,Masks Required
3/9/2021,Major Closure,Safer Apart Order,https://governor.alabama.gov/assets/2021/05/Safer-Apart-Order-05-03-2021-FINAL.pdf
3/12/2021,Minor Opening,Some Restrictions Lifted regarding Mask Requirements
