Dates,Opening/Closure/Notes,Link
3/16/2020,Major Closure, "Catholic Church Suspends Masses and Bars, Gyms, and Schools Close",https://www.nbclosangeles.com/news/coronavirus/california-coronavirus-pandemic-timeline-key-events/2334100/
3/19/2020,Major Closure,Statewide Stay At Home Order Issued,
5/29/2020,Major Opening,Resturants and Barberships Open Under Limited Capacity,
11/17/2020,Major Closure,Mask Wearing Mandated Statewide,
12/3/2020,Major Closure,Targeted Stay At Home Order Enacted,
1/25/2021,Major Opening,Stay at Home Orders Lifted and Outdoor Dining Resumes,

